Category,Name,Image,Have,Need,Duplicates,Element,Vehicle Type,Link,Image Link
Skylander,Eruptor,,,X,,Fire,,http://skylanderscharacterlist.com/eruptor-series-2/,http://skylanderscharacterlist.com/wp-content/uploads/2014/02/Eruptor-150x150.png
Skylander,Flameslinger,,,X,,Fire,,http://skylanderscharacterlist.com/flameslinger-series-2/,http://skylanderscharacterlist.com/wp-content/uploads/2013/02/Flameslinger1-150x150.png
Skylander,Gill Grunt,,,X,,Water,,http://skylanderscharacterlist.com/gill-grunt-series-2/,http://skylanderscharacterlist.com/wp-content/uploads/2013/02/GillGrunt1-150x150.png
Skylander,Hex,,,X,,Undead,,http://skylanderscharacterlist.com/hex-series-2/,http://skylanderscharacterlist.com/wp-content/uploads/2013/02/Hex1-150x150.png
Skylander,Ignitor,,,X,,Fire,,http://skylanderscharacterlist.com/ignitor-series-2/,http://skylanderscharacterlist.com/wp-content/uploads/2013/02/Ignitor1-150x150.png
Skylander,Lightning Rod,,,X,,Air,,http://skylanderscharacterlist.com/lightning-rod-series-2/,http://skylanderscharacterlist.com/wp-content/uploads/2013/02/LightningRod1-150x150.png
Skylander,Prism Break,,,X,,Earth,,http://skylanderscharacterlist.com/prism-break-series-2/,http://skylanderscharacterlist.com/wp-content/uploads/2014/02/PrismBreak-150x150.png
Skylander,Slam Bam,,,X,,Water,,http://skylanderscharacterlist.com/slam-bam-series-2/,http://skylanderscharacterlist.com/wp-content/uploads/2013/02/SlamBam1-150x150.png
Skylander,Sonic Boom,,,X,,Air,,http://skylanderscharacterlist.com/sonic-boom-series-2/,http://skylanderscharacterlist.com/wp-content/uploads/2013/02/SonicBoom1-150x150.png
Skylander,Spyro,,,X,,Magic,,http://skylanderscharacterlist.com/spyro-series-2/,http://skylanderscharacterlist.com/wp-content/uploads/2013/02/Spyro2-150x150.png
Skylander,Stealth Elf,,,X,,Life,,http://skylanderscharacterlist.com/stealth-elf-series-2/,http://skylanderscharacterlist.com/wp-content/uploads/2013/02/StealthElf1-150x150.png
Skylander,Stump Smash,,,X,,Life,,http://skylanderscharacterlist.com/stump-smash-series-2/,http://skylanderscharacterlist.com/wp-content/uploads/2013/02/StumpSmash1-150x150.png
Skylander,Terrafin,,,X,,Earth,,http://skylanderscharacterlist.com/terrafin-series-2/,http://skylanderscharacterlist.com/wp-content/uploads/2013/02/Terrafin2-150x150.png
Skylander,Trigger Happy,,,X,,Tech,,http://skylanderscharacterlist.com/trigger-happy-series-2/,http://skylanderscharacterlist.com/wp-content/uploads/2013/02/TriggerHappy1-150x150.png
Skylander,Whirlwind,,,X,,Air,,http://skylanderscharacterlist.com/whirlwind-series-2/,http://skylanderscharacterlist.com/wp-content/uploads/2013/02/Whirlwind1-150x150.png
Skylander,Wrecking Ball,,,X,,Magic,,http://skylanderscharacterlist.com/wrecking-ball-series-2/,http://skylanderscharacterlist.com/wp-content/uploads/2013/02/WreckingBall1-150x150.png
Skylander,Zap,,,X,,Water,,http://skylanderscharacterlist.com/zap-series-2/,http://skylanderscharacterlist.com/wp-content/uploads/2014/02/Zap-150x150.png
Skylander,Zook,,,X,,Life,,http://skylanderscharacterlist.com/zook-series-2/,http://skylanderscharacterlist.com/wp-content/uploads/2013/02/Zook1-150x150.png
Skylander Variant,Chill LightCore,,,X,,Water,,http://skylanderscharacterlist.com/chill-lightcore/,http://skylanderscharacterlist.com/wp-content/uploads/2013/02/ChillLightCore-150x150.png
Skylander Variant,Drobot LightCore,,,X,,Tech,,http://skylanderscharacterlist.com/drobot-lightcore/,http://skylanderscharacterlist.com/wp-content/uploads/2013/02/DrobotLightCore-150x150.png
Skylander Variant,Eruptor LightCore,,,X,,Fire,,http://skylanderscharacterlist.com/eruptor-lightcore/,http://skylanderscharacterlist.com/wp-content/uploads/2013/02/EruptorLightCore-150x150.png
Skylander Variant,Hex LightCore,,,X,,Undead,,http://skylanderscharacterlist.com/hex-lightcore/,http://skylanderscharacterlist.com/wp-content/uploads/2014/02/HexLightCore-150x150.png
Skylander Variant,Jet-Vac LightCore,,,X,,Air,,http://skylanderscharacterlist.com/jet-vac-lightcore/,http://skylanderscharacterlist.com/wp-content/uploads/2013/02/JetVacLightCore-150x150.png
Skylander Variant,Pop Fizz LightCore,,,X,,Magic,,http://skylanderscharacterlist.com/pop-fizz-lightcore/,http://skylanderscharacterlist.com/wp-content/uploads/2013/02/LightCorePopFizz-150x150.png
Skylander Variant,Prism Break LightCore,,,X,,Earth,,http://skylanderscharacterlist.com/prism-break-lightcore/,http://skylanderscharacterlist.com/wp-content/uploads/2013/02/PrismBreakLightCore-150x150.png
Skylander Variant,Shroomboom LightCore,,,X,,Life,,http://skylanderscharacterlist.com/shroomboom-lightcore/,http://skylanderscharacterlist.com/wp-content/uploads/2014/02/ShroomboomLightCore-150x150.png
Magic Item,Dragonfire Cannon,,,X,,,,http://skylanderscharacterlist.com/dragonfire-cannon/,http://skylanderscharacterlist.com/wp-content/uploads/2013/07/Cannon-150x150.png
Magic Item Variant,Golden Dragonfire Cannon,,,X,,,,http://skylanderscharacterlist.com/golden-dragonfire-cannon/,http://skylanderscharacterlist.com/wp-content/uploads/2013/07/GoldenCannon-150x150.png
Magic Item,Platinum Treasure Chest,,,X,,,,http://skylanderscharacterlist.com/platinum-treasure-chest/,http://skylanderscharacterlist.com/wp-content/uploads/2013/07/Platinum_TreasureChest-150x150.png
Magic Item,Scorpion Striker Catapult,,,X,,,,http://skylanderscharacterlist.com/scorpion-striker-catapult/,http://skylanderscharacterlist.com/wp-content/uploads/2013/07/Catapult-150x150.png
Skylander Variant,Gnarly Tree Rex,,,X,,Life,,http://skylanderscharacterlist.com/gnarly-tree-rex/,http://skylanderscharacterlist.com/wp-content/uploads/2013/03/GnarlyTreeRex1-150x150.png
Skylander Variant,Granite Crusher,,,X,,Earth,,http://skylanderscharacterlist.com/granite-crusher/,http://skylanderscharacterlist.com/wp-content/uploads/2013/12/GraniteCrusher-150x150.png
Skylander Variant,Jade Flashwing,,,X,,Earth,,http://skylanderscharacterlist.com/jade-flashwing/,http://skylanderscharacterlist.com/wp-content/uploads/2014/02/JadeFlashwing-150x150.png
Skylander Variant,Legendary Bouncer,,,X,,Tech,,http://skylanderscharacterlist.com/legendary-bouncer/,http://skylanderscharacterlist.com/wp-content/uploads/2013/03/LegendaryBouncer-150x150.png
Skylander Variant,Legendary LightCore Chill,,,X,,Water,,http://skylanderscharacterlist.com/legendary-lightcore-chill/,http://skylanderscharacterlist.com/wp-content/uploads/2013/06/LegendaryLightCoreChill-150x150.png
Skylander Variant,Legendary Ignitor,,,X,,Fire,,http://skylanderscharacterlist.com/legendary-ignitor/,http://skylanderscharacterlist.com/wp-content/uploads/2013/03/LegendaryIgnitor-150x150.png
Skylander Variant,Legendary Jet-Vac,,,X,,Air,,http://skylanderscharacterlist.com/legendary-jet-vac/,http://skylanderscharacterlist.com/wp-content/uploads/2013/03/LegendaryJetVac1-150x150.png
Skylander Variant,Legendary Slam Bam,,,X,,Water,,http://skylanderscharacterlist.com/legendary-slam-bam/,http://skylanderscharacterlist.com/wp-content/uploads/2013/03/LegendarySlamBam-150x150.png
Skylander Variant,Legendary Stealth Elf,,,X,,Life,,http://skylanderscharacterlist.com/legendary-stealth-elf/,http://skylanderscharacterlist.com/wp-content/uploads/2013/03/LegendaryStealthElf-150x150.png
Skylander Variant,Molten Hot Dog,,,X,,Fire,,http://skylanderscharacterlist.com/molten-hot-dog/,http://skylanderscharacterlist.com/wp-content/uploads/2014/02/MoltenHotDog-150x150.png
Skylander Variant,Polar Whirlwind,,,X,,Air,,http://skylanderscharacterlist.com/polar-whirlwind/,http://skylanderscharacterlist.com/wp-content/uploads/2013/06/PolarWhirlwind-150x150.png
Skylander Variant,Punch Pop Fizz,,,X,,Magic,,http://skylanderscharacterlist.com/punch-pop-fizz/,http://skylanderscharacterlist.com/wp-content/uploads/2013/12/PunchPopFizz-150x150.png
Skylander Variant,Royal Double Trouble,,,X,,Magic,,http://skylanderscharacterlist.com/royal-double-trouble/,http://skylanderscharacterlist.com/wp-content/uploads/2013/03/RoyalDoubleTrouble-150x150.png
Skylander Variant,Scarlet Ninjini,,,X,,Magic,,http://skylanderscharacterlist.com/scarlet-ninjini/,http://skylanderscharacterlist.com/wp-content/uploads/2013/03/ScarletNinjini1-150x150.png
Sidekick,Barkley,,,X,,Life,,http://skylanderscharacterlist.com/sidekick-barkley/,http://skylanderscharacterlist.com/wp-content/uploads/2013/05/SidekickBarkley-150x150.png
Sidekick,Eye Small,,,X,,Undead,,http://skylanderscharacterlist.com/sidekick-eye-small/,http://skylanderscharacterlist.com/wp-content/uploads/2014/02/SidekickEyeSmall-150x150.png
Sidekick,Mini Jini,,,X,,Magic,,http://skylanderscharacterlist.com/sidekick-mini-jini/,http://skylanderscharacterlist.com/wp-content/uploads/2014/02/SidekickMiniJini-150x150.png
Sidekick,Thumpling,,,X,,Water,,http://skylanderscharacterlist.com/sidekick-thumpling/,http://skylanderscharacterlist.com/wp-content/uploads/2014/02/SidekickThumpling-150x150.png
Skylander Variant,Double Trouble 1.5,,,X,,Magic,,http://skylanderscharacterlist.com/double-trouble-1-5/,http://skylanderscharacterlist.com/wp-content/uploads/2014/02/DoubleTrouble15-150x150.png
Skylander Variant,E3 Hot Dog,,,X,,Fire,,http://skylanderscharacterlist.com/bronze-special-hot-dog/,http://skylanderscharacterlist.com/wp-content/uploads/2014/06/E3_Special_Hot_Dog_Bronze-150x150.png
Skylander Variant,Employee Edition LightCore Prism Break,,,X,,Earth,,http://skylanderscharacterlist.com/employee-edition-lightcore-prism-break/,http://skylanderscharacterlist.com/wp-content/uploads/2014/06/EmployeeEditionPrismBreak-150x150.png
Skylander Variant,Glow-in-the-Dark Cynder,,,X,,Undead,,http://skylanderscharacterlist.com/glow-in-the-dark-cynder/,http://skylanderscharacterlist.com/wp-content/uploads/2013/12/GlowInTheDarkCynder-150x150.png
Skylander Variant,Glow-in-the-Dark Fright Rider,,,X,,Undead,,http://skylanderscharacterlist.com/glow-in-the-dark-fright-rider/,http://skylanderscharacterlist.com/wp-content/uploads/2013/12/GlowInTheDarkFrightRider-150x150.png
Skylander Variant,Glow-in-the-Dark Sonic Boom,,,X,,Air,,http://skylanderscharacterlist.com/glow-in-the-dark-sonic-boom/,http://skylanderscharacterlist.com/wp-content/uploads/2013/12/GlowInTheDarkSonicBoom-150x150.png
Skylander Variant,Golden Flameslinger,,,X,,Fire,,http://skylanderscharacterlist.com/golden-flameslinger/,http://skylanderscharacterlist.com/wp-content/uploads/2013/11/GoldenFlameslinger-150x150.png
Skylander Variant,Halloween Fright Rider,,,X,,Undead,,http://skylanderscharacterlist.com/halloween-fright-rider/,http://skylanderscharacterlist.com/wp-content/uploads/2013/11/HalloweenFrightRider-150x150.png
Skylander Variant,Metallic Blue Chop Chop,,,X,,Undead,,http://skylanderscharacterlist.com/metallic-blue-chop-chop/,http://skylanderscharacterlist.com/wp-content/uploads/2014/06/MetallicBlueChopChop-150x150.png
Skylander Variant,Metallic Green Gill Grunt,,,X,,Water,,http://skylanderscharacterlist.com/special-edition-metallic-green-gill-grunt/,http://skylanderscharacterlist.com/wp-content/uploads/2013/07/MetallicGreenGillGrunt-150x150.png
Skylander Variant,Metallic Green Shroomboom,,,X,,Life,,http://skylanderscharacterlist.com/metallic-green-shroomboom/,http://skylanderscharacterlist.com/wp-content/uploads/2014/06/MetallicGreenShroomboom-150x150.png
Skylander Variant,Metallic Eye-Brawl,,,X,,Undead,,http://skylanderscharacterlist.com/metallic-purple-eye-brawl/,http://skylanderscharacterlist.com/wp-content/uploads/2013/12/PurpleEyeBrawl-150x150.png
Skylander Variant,Metallic Lightning Rod,,,X,,Air,,http://skylanderscharacterlist.com/metallic-purple-lightning-rod/,http://skylanderscharacterlist.com/wp-content/uploads/2013/12/PurpleLightningRod-150x150.png
Skylander Variant,Metallic Wrecking Ball,,,X,,Magic,,http://skylanderscharacterlist.com/metallic-purple-wrecking-ball/,http://skylanderscharacterlist.com/wp-content/uploads/2013/12/PurpleWreckingBall-150x150.png
Skylander Variant,Pumpkin Eye-Brawl,,,X,,Undead,,http://skylanderscharacterlist.com/pumpkin-eye-brawl/,http://skylanderscharacterlist.com/wp-content/uploads/2014/02/PumpkinEyeBrawl-150x150.png
Skylander Variant,Sparkle Hot Head,,,X,,Fire,,http://skylanderscharacterlist.com/sparkle-hot-head/,http://skylanderscharacterlist.com/wp-content/uploads/2013/12/SparkleHotHead-150x150.png
Skylander Variant,Sparkle Sonic Boom,,,X,,Air,,http://skylanderscharacterlist.com/sparkle-sonic-boom/,http://skylanderscharacterlist.com/wp-content/uploads/2013/12/SparkleSonicBoom-150x150.png
Skylander Variant,Sparkle Sprocket,,,X,,Tech,,http://skylanderscharacterlist.com/sparkle-sprocket/,http://skylanderscharacterlist.com/wp-content/uploads/2013/12/SparkleSprocket-150x150.png
Skylander Variant,Stone Whirlwind,,,X,,Air,,http://skylanderscharacterlist.com/stone-whirlwind/,http://skylanderscharacterlist.com/wp-content/uploads/2013/12/StoneWhirlwind-150x150.png
Skylander Variant,Stone Zook,,,X,,Life,,http://skylanderscharacterlist.com/stone-zook/,http://skylanderscharacterlist.com/wp-content/uploads/2013/12/StoneZook-150x150.png
Skylander Variant,White Flocked Eruptor,,,X,,Fire,,http://skylanderscharacterlist.com/white-flocked-eruptor/,http://skylanderscharacterlist.com/wp-content/uploads/2014/06/WhiteFlockedEruptor-150x150.png
Skylander Variant,White Flocked LightCore Prism Break,,,X,,Earth,,http://skylanderscharacterlist.com/white-flocked-lightcore-prism-break/,http://skylanderscharacterlist.com/wp-content/uploads/2014/06/WhiteFlockedLightCorePrismBreak-150x150.png
Skylander Variant,White Flocked Stump Smash,,,X,,Life,,http://skylanderscharacterlist.com/white-flocked-stump-smash/,http://skylanderscharacterlist.com/wp-content/uploads/2014/06/WhiteFlockedStumpSmash-150x150.png
